,embarco,genero,paxid,class,edad,ssr,patch,fabasis,cab
116,1,1,116,2,84,0,0,30,147
117,2,1,117,1,38,1,0,123,147
118,0,1,118,0,31,0,1,244,36
119,2,0,119,2,6,4,2,158,147
120,2,1,120,1,27,2,0,208,147
121,2,1,121,2,88,0,0,43,147
122,0,1,122,1,43,1,0,154,147
123,2,0,123,1,43,0,0,85,116
124,2,1,124,0,69,0,1,212,98
125,0,1,125,2,16,1,0,75,147
126,1,1,126,2,88,0,0,30,147
127,2,1,127,2,31,0,0,15,147
128,0,0,128,2,88,1,1,127,138
129,2,1,129,2,59,0,0,10,147
130,0,1,130,2,44,0,0,40,147
131,2,1,131,2,25,0,0,12,147
132,2,0,132,2,62,1,0,96,147
133,2,0,133,1,38,1,0,138,147
134,2,1,134,1,33,0,0,85,147
135,0,1,135,1,29,0,0,98,147
136,2,0,136,0,24,0,2,140,107
137,2,1,137,0,50,1,0,189,55
138,2,1,138,2,21,0,0,59,147
139,0,1,139,0,31,0,0,216,45
140,0,0,140,2,88,0,2,101,147
141,2,0,141,2,28,0,0,30,147
142,2,0,142,2,31,1,0,106,147
143,1,1,143,2,24,0,0,7,147
144,2,1,144,1,23,0,0,76,147
145,2,1,145,1,24,1,1,169,147
146,2,1,146,2,35,0,0,33,147
147,2,0,147,2,13,2,2,165,147
148,2,1,148,1,49,0,2,138,141
149,2,1,149,1,56,0,0,85,147
150,2,1,150,1,66,0,0,82,147
151,2,0,151,0,28,1,0,203,61
152,2,1,152,2,71,0,0,43,147
153,2,1,153,2,54,0,2,96,147
154,2,1,154,2,88,0,0,19,147
155,0,1,155,0,66,0,1,199,147
156,1,0,156,2,21,0,0,27,147
157,2,1,157,2,39,0,0,43,147
158,2,1,158,2,88,0,0,54,147
159,2,1,159,2,88,6,2,205,147
160,2,1,160,2,58,0,1,109,147
161,2,0,161,1,53,0,0,105,147
162,2,1,162,2,34,0,0,31,147
163,2,1,163,2,22,0,0,54,147
164,2,1,164,2,5,4,1,175,147
165,2,1,165,2,13,0,2,121,147
166,2,0,166,0,88,0,1,190,123
167,2,0,167,2,59,1,4,147,147
168,2,1,168,0,88,0,0,136,147
169,2,1,169,2,36,0,0,193,147
170,2,1,170,0,77,0,0,163,18
171,1,1,171,2,8,4,1,151,147
172,2,0,172,2,5,1,1,74,147
173,2,1,173,2,27,0,0,41,147
174,0,1,174,0,72,0,0,156,14
175,2,1,175,2,23,1,1,36,147
176,2,1,176,2,88,3,1,134,147
177,0,0,177,0,65,0,0,149,69
178,2,1,178,1,39,0,0,85,147
179,2,1,179,2,48,0,0,0,147
180,2,0,180,2,88,6,2,205,147
181,0,1,181,1,88,0,0,99,147
182,2,1,182,2,13,4,2,159,147
183,2,1,183,1,5,2,1,172,144
184,2,0,184,2,8,0,2,126,147
185,2,1,185,0,88,0,0,183,9
186,1,0,186,2,88,1,0,102,147
187,2,1,187,0,59,0,0,143,147
188,1,1,188,2,53,1,1,102,147
189,2,1,189,2,48,0,0,40,147
190,2,0,190,1,42,0,0,85,147
191,2,1,191,1,24,0,0,85,147
192,2,0,192,2,24,1,0,36,147
193,2,1,193,1,7,1,1,138,141
194,0,0,194,0,58,0,0,145,28
195,0,0,195,0,74,0,0,236,43
196,1,1,196,2,88,0,0,30,147
197,2,1,197,2,56,0,1,49,147
198,1,0,198,2,88,0,0,30,147
199,2,0,199,1,31,0,0,85,147
200,2,1,200,2,36,0,0,64,147
201,2,1,201,2,88,6,2,205,147
202,2,1,202,2,45,0,0,6,147
203,0,1,203,2,60,0,0,16,147
204,2,1,204,2,23,0,0,43,147
205,2,0,205,2,6,0,1,71,145
206,2,1,206,2,42,1,0,106,147
207,0,1,207,2,34,0,0,115,147
208,1,0,208,2,21,0,0,30,147
209,0,1,209,0,53,0,0,157,8
210,2,1,210,2,31,0,0,12,147
211,2,0,211,1,47,0,0,123,147
212,2,1,212,2,28,0,0,18,147
213,2,1,213,1,39,0,0,85,147
214,1,1,214,2,88,1,0,30,147
215,0,0,215,0,41,1,0,231,103
216,2,0,216,2,35,0,0,41,147
217,2,1,217,1,56,1,0,144,147
218,0,0,218,0,42,0,0,210,93
219,2,1,219,1,39,0,0,72,147
220,2,1,220,2,21,0,0,43,147
221,2,1,221,1,35,0,0,85,147
222,2,1,222,2,66,0,0,43,147
223,2,1,223,2,88,0,0,40,147
224,2,1,224,0,51,1,0,225,87
225,2,1,225,2,28,0,0,61,147
226,2,1,226,1,24,0,0,72,147
227,2,1,227,2,26,0,0,18,147
228,2,1,228,1,23,0,0,85,147
229,2,0,229,2,88,3,1,134,147
230,2,0,230,0,47,1,0,222,80
231,2,1,231,2,38,0,0,31,147
232,2,1,232,1,75,0,0,87,147
233,2,0,233,2,9,4,2,159,147
234,2,1,234,1,31,0,0,72,147
235,2,0,235,2,88,0,0,22,147
236,2,1,236,1,58,1,0,138,147
237,2,0,237,1,12,0,2,139,147
238,2,1,238,1,24,0,0,72,147
239,2,1,239,1,44,0,0,78,147
240,0,0,240,2,88,1,0,94,147
241,1,0,241,2,88,1,0,102,147
242,2,1,242,1,38,0,0,72,147
243,2,1,243,2,28,0,0,14,147
244,0,1,244,2,39,0,0,16,147
245,1,1,245,0,58,2,0,225,78
246,2,0,246,2,33,0,0,31,147
247,2,0,247,1,31,0,2,96,147
248,2,1,248,0,50,1,1,188,102
249,2,1,249,1,69,1,0,138,147
250,2,1,250,2,88,0,0,18,147
251,2,0,251,2,38,1,1,71,145
252,2,1,252,0,78,0,0,143,83
253,2,1,253,2,39,1,0,109,147
254,2,0,254,2,55,0,2,119,147
255,0,0,255,2,38,0,2,101,147
256,0,0,256,0,88,0,0,216,147
257,2,0,257,0,39,0,0,223,40
258,0,0,258,0,47,0,0,247,147
259,2,0,259,1,65,0,1,138,147
260,1,1,260,2,88,0,0,30,147
261,2,1,261,2,7,4,2,159,147
262,2,1,262,0,67,1,1,217,134
263,2,1,263,0,53,0,0,0,46
264,1,0,264,2,88,0,0,30,147
265,2,1,265,1,48,0,0,72,147
266,2,1,266,2,21,4,1,175,147
267,2,1,267,2,33,1,0,31,147
268,2,0,268,0,74,0,1,238,57
269,2,0,269,0,47,0,0,235,89
270,2,1,270,0,88,0,0,157,147
271,2,1,271,2,33,0,0,0,147
272,2,0,272,1,55,0,1,117,147
273,0,1,273,0,50,0,1,152,54
274,1,0,274,2,88,0,0,30,147
275,2,0,275,0,79,1,0,213,113
276,2,0,276,2,59,0,0,30,147
277,2,1,277,1,88,0,0,0,147
278,1,1,278,2,11,4,1,151,147
279,2,0,279,2,47,1,1,120,147
280,1,1,280,2,81,0,0,30,147
281,2,1,281,2,36,0,0,36,147
282,2,1,282,2,21,0,0,64,147
283,2,1,283,2,24,0,0,43,147
284,2,1,284,0,88,0,0,138,3
285,0,1,285,2,44,0,0,54,147
286,2,1,286,2,39,0,0,64,147
287,2,1,287,2,28,0,0,40,147
288,2,1,288,1,56,0,0,85,147
289,1,0,289,2,28,0,0,30,147
290,2,0,290,0,34,0,0,215,147
291,0,0,291,0,24,1,0,226,31
292,0,1,292,1,48,0,0,84,90
293,2,0,293,2,31,0,0,57,147
294,2,1,294,2,31,0,0,40,147
295,0,1,295,0,88,0,0,145,147
296,0,1,296,2,30,0,0,17,147
297,2,0,297,0,6,1,2,237,62
298,2,1,298,0,88,0,0,155,51
299,0,0,299,0,65,0,1,244,36
300,1,0,300,2,88,0,0,30,147
301,1,1,301,2,88,2,0,130,147
302,2,1,302,2,24,0,0,0,147
303,1,0,303,1,88,0,0,80,116
304,2,1,304,2,88,0,0,43,147
305,2,1,305,0,4,1,2,237,62
306,0,0,306,0,88,0,0,230,147
307,0,0,307,0,22,1,0,229,74
308,0,1,308,1,39,1,0,132,147
309,0,0,309,0,39,0,0,194,125
310,0,0,310,0,31,0,0,221,72
311,0,0,311,0,23,2,2,245,35
312,2,0,312,1,34,1,1,138,147
313,2,1,313,2,36,0,0,40,147
314,2,1,314,1,57,1,1,139,147
315,2,0,315,2,34,0,0,36,147
316,2,0,316,1,31,1,0,138,147
317,2,1,317,1,69,0,0,91,147
318,2,0,318,0,41,0,2,239,76
319,0,0,319,0,53,1,1,234,124
320,2,1,320,2,28,0,0,18,147
321,2,1,321,2,35,0,0,40,147
322,1,0,322,1,39,0,0,80,147
323,2,0,323,1,28,1,1,150,147
324,2,1,324,2,88,6,2,205,147
325,0,0,325,0,48,0,0,235,65
326,2,1,326,2,77,0,0,3,147
327,2,0,327,1,48,0,0,85,90
328,2,0,328,2,41,1,1,121,147
329,0,0,329,0,21,0,1,196,17
330,1,0,330,2,88,2,0,130,147
331,2,1,331,0,60,0,0,148,56
332,2,1,332,0,51,0,1,238,85
333,2,1,333,2,21,2,0,113,147
334,2,0,334,0,88,1,0,233,147
335,2,1,335,2,88,0,0,40,147
336,2,1,336,0,38,1,0,203,61
337,0,0,337,0,55,0,0,234,127
338,2,1,338,2,59,0,0,43,147
339,2,1,339,0,59,0,0,168,146
340,2,1,340,1,6,1,1,138,141
341,2,0,341,0,31,3,2,246,63
342,2,1,342,1,36,0,0,85,147
343,2,1,343,1,33,0,0,85,147
344,2,1,344,1,48,0,0,85,147
345,2,0,345,1,31,0,0,85,142
346,2,0,346,1,53,0,0,85,147
347,2,0,347,2,88,1,0,109,147
348,2,1,348,2,7,1,1,107,147
349,2,1,349,2,56,0,0,54,147
350,2,1,350,2,29,0,0,60,147
351,2,1,351,0,88,0,0,167,59
352,0,1,352,2,20,1,1,17,147
353,2,1,353,2,33,1,0,112,147
354,0,1,354,2,88,0,0,16,147
355,2,1,355,2,36,0,0,64,147
356,2,0,356,0,28,0,1,190,123
357,2,0,357,1,51,0,0,85,147
358,1,0,358,2,88,0,0,38,147
359,1,0,359,2,88,0,0,38,147
360,2,1,360,2,53,1,4,147,147
361,0,1,361,1,38,1,0,145,147
362,0,0,362,2,59,0,1,94,147
363,2,1,363,2,47,0,0,12,147
364,1,1,364,2,88,1,0,102,147
365,2,1,365,2,39,0,0,18,147
366,0,0,366,0,76,1,0,209,104
367,0,0,367,2,88,0,0,17,147
368,1,0,368,2,88,0,0,30,147
369,0,0,369,0,31,0,0,204,24
370,0,1,370,0,33,1,0,191,131
371,2,1,371,2,23,1,0,6,147
372,2,1,372,2,24,0,0,43,147
373,0,1,373,0,28,0,0,235,147
374,2,0,374,2,7,3,1,124,147
375,0,0,375,0,88,1,0,220,147
376,2,0,376,2,28,0,0,18,147
377,0,1,377,0,35,0,2,241,79
378,0,1,378,2,25,0,0,1,147
379,2,1,379,2,24,0,0,31,147
380,0,0,380,0,56,0,0,243,147
381,0,0,381,2,5,0,2,104,147
382,2,1,382,2,42,0,0,41,147
383,2,0,383,0,47,1,0,187,147
384,2,1,384,2,88,0,0,40,147
385,2,1,385,1,23,0,0,208,147
386,2,1,386,2,5,5,2,179,147
387,2,0,387,1,48,0,0,85,147
388,1,1,388,2,88,0,0,26,147
389,0,0,389,1,22,0,0,77,147
390,2,1,390,0,48,1,2,232,47
391,2,1,391,2,27,0,0,33,147
392,2,1,392,2,36,2,0,41,147
393,0,0,393,0,29,1,0,231,103
394,2,0,394,2,31,0,2,110,145
395,2,1,395,2,28,0,0,33,147
396,2,0,396,2,41,0,0,36,147
397,2,1,397,1,61,0,0,138,147
398,2,1,398,1,29,0,0,72,147
399,2,0,399,1,36,0,0,83,147
400,2,1,400,2,52,0,0,41,147
401,2,1,401,2,34,0,0,43,147
402,2,0,402,2,27,1,0,66,147
403,2,1,403,2,36,1,0,106,147
404,2,0,404,2,25,0,0,54,147
405,2,1,405,1,45,1,0,123,147
406,2,1,406,2,66,0,0,30,147
407,2,1,407,1,7,1,1,114,147
408,2,1,408,2,27,0,0,31,147
409,2,0,409,2,88,3,1,134,147
410,2,1,410,2,88,0,0,40,147
411,1,1,411,2,88,0,0,8,147
412,1,0,412,0,44,1,0,225,78
413,2,1,413,1,88,0,0,0,147
414,2,1,414,2,58,0,0,41,147
415,2,0,415,2,88,0,0,43,147
416,2,0,416,1,45,1,1,161,147
417,2,0,417,1,23,0,2,85,147
418,2,1,418,1,39,0,0,85,147
419,2,0,419,2,14,0,2,133,147
420,0,1,420,2,88,0,0,40,147
421,1,1,421,2,27,0,0,27,147
422,2,1,422,2,38,0,0,37,147
423,2,0,423,2,36,1,1,93,147
424,2,1,424,2,23,1,1,119,147
425,2,1,425,2,88,0,0,18,147
426,2,0,426,1,36,1,0,138,147
427,2,0,427,1,24,0,0,138,147
428,1,1,428,2,88,0,0,30,147
429,2,1,429,2,42,0,0,43,115
430,2,1,430,0,36,0,0,143,71
431,2,0,431,2,88,1,0,109,147
432,2,0,432,1,56,1,0,138,147
433,2,1,433,2,22,0,0,14,147
434,2,1,434,0,65,1,0,192,128
435,2,0,435,0,18,1,2,232,47
436,2,0,436,2,27,2,2,165,147
437,2,0,437,1,31,2,3,114,147
438,2,1,438,0,80,1,4,246,63
439,2,1,439,1,41,0,0,72,147
440,2,0,440,1,59,1,1,139,147
441,2,1,441,2,25,0,0,64,147
442,2,1,442,2,33,1,0,31,147
443,2,0,443,1,36,0,0,85,147
444,2,1,444,2,88,0,0,44,147
445,2,1,445,0,8,0,2,219,10
446,2,0,446,1,17,0,1,117,147
447,2,1,447,0,45,0,0,143,147
448,0,0,448,2,9,2,1,116,147
449,2,1,449,0,67,0,0,155,50
450,2,1,450,1,48,1,2,146,147
451,2,1,451,2,88,1,0,118,147
452,0,1,452,0,39,0,0,146,53
453,0,1,453,0,64,1,0,224,86
454,2,1,454,2,88,0,0,43,147
455,0,1,455,2,38,0,0,40,147
456,2,1,456,0,81,0,0,143,126
457,2,0,457,0,88,1,0,186,97
458,2,0,458,1,65,0,0,72,147
459,1,1,459,2,88,0,0,30,147
460,2,1,460,0,63,0,0,143,117
461,2,1,461,2,45,0,0,43,147
462,2,1,462,0,62,0,0,171,133
463,2,1,463,1,63,0,0,85,147
464,2,1,464,2,88,0,0,43,147
465,2,1,465,2,51,0,0,12,147
466,2,1,466,1,88,0,0,0,147
467,2,1,467,0,72,0,0,143,147
468,1,1,468,2,88,0,0,25,147
469,0,0,469,2,2,2,1,116,147
470,2,1,470,2,88,0,0,18,147
471,2,1,471,2,51,0,0,54,147
472,2,0,472,1,44,1,2,146,147
473,0,0,473,1,29,0,0,88,90
474,2,0,474,2,28,0,0,67,147
475,2,1,475,0,88,0,0,187,1
476,2,1,476,1,45,1,0,123,147
477,2,1,477,2,38,1,0,11,147
478,2,1,478,2,28,0,0,21,147
479,2,0,479,2,6,0,1,79,147
480,2,1,480,2,13,5,2,179,147
481,2,1,481,1,88,0,0,0,147
482,2,1,482,2,65,0,0,43,147
483,2,0,483,2,79,0,0,65,147
484,0,1,484,0,33,1,0,226,31
485,2,0,485,2,88,3,1,134,147
486,2,0,486,0,47,1,0,225,87
487,0,1,487,0,74,0,0,152,25
488,2,1,488,2,39,0,0,43,147
489,2,1,489,2,13,1,1,107,147
490,2,1,490,2,88,1,0,118,147
491,2,1,491,2,27,0,0,18,147
492,2,1,492,0,70,0,0,155,64
493,0,1,493,0,85,0,0,182,147
494,2,1,494,2,27,0,0,43,147
495,0,1,495,2,88,0,0,95,147
496,0,0,496,0,69,1,0,214,96
497,2,1,497,2,88,0,0,100,147
498,2,0,498,0,33,1,2,237,62
499,2,1,499,2,31,0,0,33,147
500,2,1,500,2,22,0,0,54,147
501,1,0,501,2,27,0,0,30,147
502,1,0,502,2,88,0,0,23,147
503,2,0,503,2,50,0,0,65,147
504,2,0,504,0,21,0,0,223,42
505,0,1,505,0,23,1,0,229,74
506,2,0,506,1,44,0,2,138,147
507,2,1,507,0,88,0,0,143,147
508,2,1,508,2,36,0,0,128,147
509,2,1,509,2,34,0,0,193,147
510,1,1,510,2,38,0,0,30,147
511,2,1,511,2,88,0,0,43,147
512,2,1,512,0,48,0,0,141,121
513,0,0,513,0,69,1,0,197,147
514,2,1,514,2,31,0,0,20,147
515,2,1,515,0,62,0,0,164,106
516,2,0,516,1,45,0,0,72,142
517,1,1,517,2,88,0,0,133,147
518,2,0,518,1,48,1,0,138,147
519,2,1,519,2,42,0,0,40,147
520,2,0,520,0,39,0,0,227,39
521,2,1,521,2,28,0,0,40,147
522,0,1,522,2,88,0,0,16,147
523,0,0,523,0,58,0,1,196,17
524,0,1,524,2,88,0,0,17,147
525,1,1,525,2,54,0,0,30,147
526,2,0,526,1,65,0,0,72,147
527,2,1,527,0,88,0,0,242,88
528,2,1,528,2,52,0,0,41,147
529,2,1,529,1,29,2,1,76,147
530,2,0,530,1,6,1,1,138,147
531,0,1,531,2,88,0,0,17,147
532,0,1,532,2,22,1,1,17,147
533,0,0,533,2,88,0,2,127,147
534,2,0,534,2,39,0,0,54,147
535,2,0,535,1,11,0,2,139,147
536,2,1,536,0,59,0,0,143,26
537,0,0,537,0,39,0,0,228,147
538,2,1,538,2,88,0,0,96,147
539,0,0,539,0,28,0,2,181,27
540,2,0,540,0,48,0,2,206,20
541,2,0,541,2,13,4,2,158,147
542,2,0,542,2,15,4,2,158,147
543,2,1,543,1,42,1,0,138,147
544,0,1,544,0,65,1,0,228,82
545,2,1,545,0,80,0,0,138,147
546,2,0,546,1,24,1,0,138,147
547,0,1,547,1,88,0,0,90,147
548,2,1,548,2,44,1,1,121,147
549,2,1,549,1,12,1,1,169,147
550,0,1,550,0,22,0,2,230,77
551,2,1,551,1,35,0,0,138,147
552,1,1,552,2,88,0,0,35,147
553,0,1,553,2,28,0,0,16,147
554,2,0,554,2,28,0,0,31,147
555,2,1,555,0,78,0,0,143,147
556,0,0,556,0,63,1,0,174,2
557,0,1,557,0,88,0,0,243,147
558,2,0,558,0,52,1,1,217,134
559,2,0,559,2,48,1,0,111,147
560,1,1,560,2,88,0,0,30,147
561,2,1,561,2,53,0,0,40,147
562,2,1,562,1,36,0,0,87,147
563,2,1,563,2,88,0,0,43,147
564,2,0,564,2,88,0,0,43,147
565,2,1,565,2,31,2,0,133,147
566,2,1,566,2,24,0,0,40,147
567,2,0,567,2,38,0,4,124,147
568,0,1,568,2,88,0,0,17,147
569,2,1,569,2,42,0,0,36,147
570,2,1,570,1,78,0,0,72,147
571,2,0,571,0,68,2,0,185,48
572,2,1,572,0,48,0,0,142,121
573,1,0,573,2,88,0,0,30,147
574,2,1,574,2,21,0,0,43,147
575,2,1,575,2,24,0,0,96,147
576,2,0,576,1,45,0,0,85,147
577,2,0,577,0,52,1,0,192,128
578,0,0,578,2,88,1,0,95,147
579,2,1,579,2,42,0,0,41,147
580,2,0,580,1,33,1,1,153,147
581,0,0,581,0,52,1,1,230,75
582,2,1,582,1,69,0,0,138,147
583,0,1,583,0,48,0,0,176,0
584,0,1,584,2,88,0,0,56,147
585,2,0,585,0,23,0,2,217,135
586,2,1,586,1,62,0,0,97,147
587,0,1,587,0,76,1,1,216,29
588,2,1,588,2,28,0,0,43,147
589,2,1,589,2,88,0,0,43,147
590,2,1,590,2,47,0,0,14,147
591,0,0,591,0,67,1,0,214,96
592,2,1,592,2,62,0,0,18,147
593,1,0,593,2,88,0,2,30,147
594,2,1,594,1,50,1,0,138,147
595,2,1,595,2,48,1,1,133,147
596,2,0,596,1,88,0,0,162,147
597,2,1,597,2,64,0,0,0,147
598,0,1,598,2,88,0,0,16,147
599,0,1,599,0,64,1,0,194,4
600,2,0,600,1,31,2,1,144,147
601,2,1,601,2,88,0,0,40,147
602,2,1,602,0,88,0,0,178,147
603,2,1,603,2,58,0,0,43,147
604,0,1,604,0,47,0,0,143,147
605,2,1,605,2,48,1,0,103,147
606,2,1,606,2,39,0,0,40,147
607,2,1,607,0,35,0,0,155,147
608,0,0,608,1,28,1,2,177,147
609,2,0,609,0,53,0,0,238,57
610,2,0,610,2,52,1,5,158,147
611,2,1,611,2,88,0,0,12,147
612,1,0,612,2,88,1,0,102,147
613,1,1,613,2,88,0,0,30,147
614,2,1,614,2,47,0,0,43,147
615,2,0,615,1,31,1,2,202,147
616,2,1,616,2,45,1,1,93,147
617,2,0,617,2,34,1,0,109,147
618,2,0,618,1,8,2,1,172,144
619,2,1,619,1,34,0,0,72,147
620,0,1,620,2,35,1,0,94,147
621,2,1,621,0,56,1,0,188,95
622,0,1,622,2,25,1,1,104,147
623,2,1,623,2,27,0,0,36,147
624,2,1,624,2,27,0,0,109,147
625,2,1,625,0,77,0,0,160,110
626,1,1,626,1,73,0,0,80,147
627,2,0,627,0,27,0,0,213,114
628,2,1,628,2,34,0,0,40,147
629,1,1,629,2,88,0,0,27,147
630,2,1,630,0,87,0,0,153,5
631,2,1,631,2,66,0,0,13,147
632,0,1,632,0,42,0,0,155,33
633,2,1,633,0,88,0,0,0,147
634,2,0,634,2,13,3,2,147,147
635,2,0,635,1,36,0,0,85,147
636,2,1,636,2,42,0,0,41,147
637,2,1,637,1,41,1,1,139,147
638,2,0,638,2,55,0,5,175,147
639,2,1,639,2,88,1,0,109,147
640,2,1,640,2,25,0,0,36,147
641,0,0,641,0,31,0,0,204,24
642,2,0,642,2,6,3,2,147,147
643,2,1,643,2,88,0,0,193,147
644,0,0,644,2,2,2,1,116,147
645,0,1,645,0,63,1,0,211,101
646,2,1,646,2,24,0,0,40,147
647,0,1,647,0,72,0,0,168,7
648,2,1,648,2,88,0,0,22,147
649,2,0,649,2,29,0,0,22,147
650,2,1,650,2,88,0,0,40,147
651,2,0,651,1,23,0,1,129,147
652,2,1,652,2,27,0,0,50,147
653,1,0,653,2,88,0,0,35,147
654,1,0,654,2,23,0,0,7,147
655,2,1,655,1,31,2,0,208,147
656,2,1,656,2,88,0,0,40,147
657,1,0,657,2,42,1,1,102,147
658,2,1,658,1,29,0,0,85,147
659,0,1,659,0,74,0,2,231,108
660,2,1,660,0,65,2,0,233,147
661,0,1,661,2,53,0,0,16,147
662,2,1,662,0,62,0,0,135,132
663,2,1,663,2,48,0,0,20,147
664,2,1,664,2,25,1,0,41,147
665,2,1,665,1,42,2,0,208,147
666,2,1,666,1,33,0,0,85,147
667,2,1,667,2,88,0,0,31,147
668,2,1,668,2,57,0,0,43,147
669,2,0,669,0,88,1,0,187,58
670,2,0,670,1,53,1,1,172,147
671,2,1,671,0,41,1,0,187,38
672,2,1,672,1,83,0,0,72,147
673,2,1,673,1,41,0,0,85,147
674,2,1,674,1,88,0,0,0,147
675,2,1,675,2,23,0,0,31,147
676,2,1,676,2,32,0,0,43,147
677,2,0,677,2,23,0,0,68,147
678,2,0,678,2,57,1,6,179,147
679,0,1,679,0,48,0,1,247,34
680,1,0,680,2,88,0,0,45,147
681,0,1,681,0,35,0,0,211,109
682,2,1,682,2,25,0,0,60,147
683,2,1,683,2,18,5,2,179,147
684,2,1,684,1,76,1,1,172,147
685,0,1,685,1,33,1,2,177,147
686,2,1,686,2,18,4,1,175,147
687,2,1,687,2,24,0,0,70,147
688,2,1,688,2,23,0,0,33,147
689,2,0,689,0,20,0,1,240,32
690,2,1,690,0,41,1,0,195,19
691,0,0,691,2,8,0,1,86,147
692,2,1,692,2,88,0,0,193,147
693,0,1,693,2,33,0,0,16,147
694,2,1,694,0,76,0,0,143,147
695,2,1,695,1,67,0,0,87,147
